Clovis,Wichita Falls,Oklahoma City,Wichita,Walla Walla,Great Falls
1.8934426229508197,3.3830601092896178,2.433333333333333,2.475956284153005,0.9240437158469943,0.1758241758241758
2.9038251366120225,6.887431693989072,4.6765027322404356,3.8442622950819674,0.8547486033519553,0.4453551912568306
2.4103825136612027,4.857923497267759,3.514207650273224,3.4972677595628414,1.1371584699453552,0.6273224043715847
2.0120879120879125,3.8,2.0185792349726777,1.799453551912568,1.710382513661202,0.5945355191256833
1.2688524590163934,3.205464480874318,2.069398907103826,1.8366120218579236,1.521311475409836,0.29890710382513663
1.3153005464480871,3.0546448087431695,1.93224043715847,1.7852459016393445,1.853551912568306,0.5633879781420764
1.5819672131147542,3.166666666666666,2.231147540983607,2.072131147540983,1.0251366120218581,0.30109289617486334
1.2918032786885245,2.5054644808743167,1.6617486338797816,1.6770491803278686,1.8796703296703294,0.740983606557377
1.8983606557377048,4.101092896174864,1.6950819672131143,2.2792349726775956,1.4142076502732241,0.45901639344262296
2.338251366120219,3.1726775956284152,1.7797814207650273,1.7256830601092894,0.9016393442622951,0.24230769230769236
2.4994350282485875,2.9415300546448084,1.4934426229508195,1.9628415300546451,1.0885245901639344,0.4076502732240437
